City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
139,Meulaboh,ID,2022-04-13 19:28:54,4.1363,96.1285,77.02,89,96,3.11
140,Odienne,CI,2022-04-13 19:28:55,9.51,-7.5692,90.3,33,29,3.27
141,East London,ZA,2022-04-13 19:29:26,-33.0153,27.9116,70.48,86,23,3.94
142,Skibbereen,IE,2022-04-13 19:29:55,51.55,-9.2667,53.11,94,25,6.38
143,Iberia,US,2022-04-13 19:29:55,29.9502,-91.7507,79.05,78,100,25.32
144,Fort Nelson,CA,2022-04-13 19:29:56,58.8053,-122.7002,20.79,38,0,5.75
145,Lobatse,BW,2022-04-13 19:29:56,-25.2167,25.6667,62.53,47,99,3.44
146,Kaitangata,NZ,2022-04-13 19:29:56,-46.2817,169.8464,42.1,93,40,6.71
147,Camacha,PT,2022-04-13 19:29:57,33.0833,-16.3333,60.22,67,40,9.22
148,Ostrovnoy,RU,2022-04-13 19:29:57,68.0531,39.5131,15.64,94,100,5.12
149,Buenos Aires,AR,2022-04-13 19:26:23,-34.6132,-58.3772,69.53,33,0,5.75
150,Yulara,AU,2022-04-13 19:29:58,-25.2406,130.9889,78.64,27,75,8.05
151,Yabelo,ET,2022-04-13 19:29:58,4.8833,38.0833,64.13,70,28,6.13
152,Khatanga,RU,2022-04-13 19:29:58,71.9667,102.5,11.84,95,100,9.15
153,Bengkulu,ID,2022-04-13 19:29:59,-3.8004,102.2655,76.12,87,95,3.31
154,Kjollefjord,NO,2022-04-13 19:29:59,70.9457,27.3465,33.85,82,100,6.62
155,Vila Velha,BR,2022-04-13 19:29:59,-20.3297,-40.2925,85.95,79,0,17.27
156,Abu Dhabi,AE,2022-04-13 19:30:00,24.4667,54.3667,86.11,53,0,2.3
157,Barrow,US,2022-04-13 19:27:21,71.2906,-156.7887,-5.78,92,0,5.75
158,Luderitz,NA,2022-04-13 19:30:00,-26.6481,15.1594,62.62,83,4,10.8
159,Ulaangom,MN,2022-04-13 19:29:45,49.9811,92.0667,27.88,41,99,3.8
160,Pringsewu,ID,2022-04-13 19:30:01,-5.3582,104.9744,73.51,96,100,3.65
161,Butaritari,KI,2022-04-13 19:29:23,3.0707,172.7902,81.07,77,99,16.55
162,Norman Wells,CA,2022-04-13 19:30:02,65.282,-126.8329,21.24,35,75,2.3
163,Arraial Do Cabo,BR,2022-04-13 19:30:03,-22.9661,-42.0278,85.96,74,0,11.5
164,Port Lincoln,AU,2022-04-13 19:30:04,-34.7333,135.8667,66.49,73,100,5.23
165,Belmonte,BR,2022-04-13 19:30:05,-15.8631,-38.8828,81.43,74,76,8.03
166,Dolores,AR,2022-04-13 19:30:06,-36.3132,-57.6792,65.55,40,0,10.54
167,Christchurch,NZ,2022-04-13 19:30:01,-43.5333,172.6333,42.94,92,100,0.0
168,Salalah,OM,2022-04-13 19:29:23,17.0151,54.0924,80.69,94,0,2.3
169,Saldanha,ZA,2022-04-13 19:30:07,-33.0117,17.9442,62.85,91,100,19.46
170,San Patricio,US,2022-04-13 19:30:08,28.017,-97.5169,93.29,37,53,9.93
171,Kosonsoy,UZ,2022-04-13 19:30:08,41.2561,71.5508,61.36,54,5,6.11
172,La Ronge,CA,2022-04-13 19:30:09,55.1001,-105.2842,19.62,57,75,12.66
173,Bridlington,GB,2022-04-13 19:29:35,54.0831,-0.1919,55.33,82,13,8.99
174,Pimentel,PE,2022-04-13 19:30:09,-6.8367,-79.9342,75.49,57,0,19.57
175,Sinnamary,GF,2022-04-13 19:30:10,5.3833,-52.95,79.56,80,46,12.53
176,Stokmarknes,NO,2022-04-13 19:30:11,68.5646,14.9108,33.76,93,20,4.61
177,Ossora,RU,2022-04-13 19:30:11,59.2353,163.0719,21.88,91,100,5.57
178,Mar Del Plata,AR,2022-04-13 19:28:29,-38.0023,-57.5575,66.22,77,0,12.66
179,Gunnedah,AU,2022-04-13 19:30:11,-30.9833,150.25,53.67,91,0,5.61
180,Zavodoukovsk,RU,2022-04-13 19:30:12,56.5042,66.5515,44.55,70,100,12.66
181,Cockburn Town,TC,2022-04-13 19:30:12,21.4612,-71.1419,80.56,69,75,17.27
